"iso3","country","mean","lower","upper"
"IND","India",-0.1764902875,-0.2439332,-0.08928617
"IDN","Indonesia",0.340429828333333,0.2593641,0.434223275
"IRN","Iran",0.0207633773877778,-0.06643005,0.115470025
"IRQ","Iraq",-0.420091093333333,-0.5060777,-0.325074675
"ARM","Armenia",-0.427344775555556,-0.51402795,-0.318885
"IRL","Ireland",-0.044305016903,-0.111928875,0.0433347775
"ISR","Israel",-0.881306433888889,-0.9683378,-0.780118375
"ITA","Italy",0.148170739555556,0.0835045225,0.236897175
"JAM","Jamaica",0.169680409016444,0.0470687475,0.30072675
"JPN","Japan",0.140804506,0.05791581,0.238035225
"JOR","Jordan",-0.667993583333333,-0.757652425,-0.56356365
"KAZ","Kazakhstan",-0.54693391,-0.63228345,-0.44911775
"KEN","Kenya",0.269930996111111,0.193643175,0.357422
"KOS","Kosovo",-0.00930560398400001,-0.100628725,0.090439215
"KWT","Kuwait",-0.476894155,-0.604462625,-0.346219825
"AUS","Australia",-0.336595916666667,-0.417723525,-0.2430698
"KGZ","Kyrgyzstan",-0.0609577181322222,-0.14125405,0.0379355949999999
"LAO","Laos",-0.0383867346457333,-0.136038175,0.06341288
"LVA","Latvia",-0.532137116666667,-0.601467175,-0.4446218
"LBN","Lebanon",-0.457292106111111,-0.543270525,-0.360677375
"LSO","Lesotho",0.91153061,0.814863675,1.01493825
"LBR","Liberia",0.339000343333333,0.250057525,0.437150475
"LBY","Libya",-0.681198570555556,-0.811530175,-0.5472741
"LTU","Lithuania",-0.474014099444444,-0.543742125,-0.385876525
"LUX","Luxembourg",-0.00167555239115,-0.084772805,0.0911736375
"MDG","Madagascar",0.740667890555556,0.65980985,0.836601675
"AUT","Austria",-0.0824569907983333,-0.1489199,0.00427679149999992
"MWI","Malawi",1.00740108611111,0.9326278,1.10303225
"MYS","Malaysia",0.0854303454971556,-0.00285918875,0.189918225
"MDV","Maldives",-0.509830543333333,-0.723265,-0.305658625
"MLI","Mali",0.517047129444444,0.4410203,0.6078991
"MLT","Malta",0.153007270333333,0.0748749075,0.245164725
"MRT","Mauritania",-0.248010946611111,-0.35946705,-0.1335188
"MUS","Mauritius",0.589890966666667,0.519041725,0.678422175
"MEX","Mexico",0.185649002944444,0.105763925,0.283577475
"MDA","Moldova",0.0880807270677778,0.000526640625000001,0.18426635
"MNG","Mongolia",0.377343937777778,0.2955509,0.475451525
