"iso3","lon_min","lon_max","lat_min","lat_max"
"PLW",131.1349609375,134.6595703125,3.02187499999999,7.712109375
"PAK",60.843359375,77.0486328125,23.753369140625,37.036669921875
"OMN",51.97763671875,59.8375,16.648388671875,26.35634765625
"NOR",4.79902343750001,30.96064453125,58.020947265625,71.09130859375
"PRK",124.3486328125,130.6873046875,37.71904296875,42.99814453125
"NGA",2.68603515625,14.6271484375,4.27739257812499,13.8728515625
"NER",0.163867187500017,15.96318359375,11.6962890625,23.51787109375
"NIC",-87.670166015625,-83.15751953125,10.7353515625,15.008056640625
"NZL",166.47763671875,178.53623046875,-47.263671875,-34.4291015625
"NIU",-169.94833984375,-169.793408203125,-19.137890625,-18.966015625
"COK",-159.84248046875,-159.736865234375,-21.24951171875,-21.18642578125
"NLD",3.35009765625,7.197265625,50.750439453125,53.62548828125
"ABW",-70.06611328125,-69.895703125,12.422998046875,12.614111328125
"CUW",-69.15888671875,-68.75107421875,12.045458984375,12.3802734375
"NPL",80.05166015625,88.1615234375,26.3603027343751,30.3875
"NRU",166.90703125,166.9583984375,-0.55078125,-0.489355468750006
"NAM",11.7216796875,25.2587890625,-28.93876953125,-16.96767578125
"MOZ",30.22177734375,40.84453125,-26.86162109375,-10.46435546875
"MAR",-17.003076171875,-1.06552734374998,21.420703125,35.9298828125
"ESH",-17.098779296875,-8.68212890625,20.80615234375,27.6564453125
"MNE",18.436328125,20.34765625,41.869091796875,43.542333984375
"MNG",87.7431640625,119.8978515625,41.5955078125,52.11728515625
"MDA",26.6189453125,30.1310546875,45.450439453125,48.477734375
"MCO",7.37773437500002,7.43867187500001,43.73173828125,43.7708984375
"MEX",-117.128271484375,-86.77177734375,14.54541015625,32.71533203125
"MUS",57.31767578125,57.7919921875,-20.51318359375,-19.98994140625
"MRT",-17.06396484375,-4.82260742187498,14.745361328125,27.2859375
"MLT",14.18037109375,14.5662109375,35.82021484375,36.07578125
"MLI",-12.280615234375,4.23466796875002,10.14326171875,24.99560546875
"MDV",73.38203125,73.5283203125,3.22939453124999,4.24765624999999
